months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
254,39,13-12-93,IN,100/300,500,1362.87,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,22-02-15,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,YES,2,2,NO,82320,Y
107,31,17-08-11,IN,250/500,500,1239.22,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,30-01-15,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,YES,0,1,NO,89700,Y
478,64,20-08-90,OH,250/500,500,835.02,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,02-02-15,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,NO,1,1,NO,33930,N
128,30,11-02-94,OH,100/300,1000,1061.33,0,478575,MALE,MD,machine-op-inspct,movies,own-child,10-01-15,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,NO,0,3,NO,68530,N
338,49,22-02-94,IN,500/1000,1000,1279.08,0,449718,MALE,MD,other-service,kayaking,own-child,27-02-15,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,NO,0,1,?,4300,N
271,42,15-08-11,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,20-02-15,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,?,2,3,?,68310,Y
222,41,11-11-98,OH,100/300,2000,1055.53,0,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,08-02-15,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,NO,0,2,NO,61290,Y
199,41,04-12-95,OH,250/500,1000,895.83,0,452597,FEMALE,Associate,sales,paintball,husband,11-02-15,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,NO,1,2,NO,30100,N
215,37,28-12-02,IN,100/300,500,1632.93,0,614417,FEMALE,College,transport-moving,golf,not-in-family,23-02-15,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,NO,2,0,YES,57120,N
192,40,15-04-04,IL,100/300,1000,1405.99,0,472895,FEMALE,Associate,sales,yachting,wife,01-03-15,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,YES,1,0,YES,42930,N
120,35,02-02-01,OH,100/300,1000,1425.54,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,15-01-15,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,NO,2,0,NO,51210,N
270,45,12-01-10,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,handlers-cleaners,golf,husband,14-01-15,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,NO,1,1,YES,89400,N
319,47,14-04-92,IN,250/500,500,1307.11,0,600648,MALE,College,transport-moving,dancing,not-in-family,17-02-15,Total Loss,Police,WV,Northbrook,2804 Best St,22,NO,0,2,?,59730,N
194,39,21-05-10,OH,500/1000,1000,1489.24,6000000,608335,FEMALE,JD,other-service,kayaking,wife,24-01-15,Minor Damage,None,SC,Springfield,7877 Sky Lane,15,YES,2,2,YES,8060,N
227,38,27-10-13,OH,500/1000,500,976.67,0,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried,21-01-15,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,?,1,2,?,72200,Y
137,31,12-10-94,OH,250/500,2000,1340.43,0,441175,MALE,High School,exec-managerial,paintball,husband,19-02-15,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,NO,1,2,NO,50800,N
244,40,04-07-97,OH,500/1000,2000,1267.81,5000000,603123,FEMALE,Masters,exec-managerial,video-games,wife,03-01-15,Trivial Damage,None,NC,Northbrook,7098 Lincoln Hwy,10,?,2,1,?,6600,N
78,29,15-02-11,IL,250/500,1000,1234.2,6000000,457767,MALE,Masters,other-service,bungie-jumping,other-relative,29-01-15,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,YES,2,2,NO,7500,N
200,35,21-08-94,IN,250/500,2000,1318.06,0,618498,MALE,High School,exec-managerial,video-games,wife,19-01-15,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,13,NO,0,3,YES,6490,N
284,48,15-05-97,IN,500/1000,2000,769.95,0,605486,MALE,Masters,prof-specialty,movies,not-in-family,19-01-15,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,?,2,3,NO,60940,Y
275,41,26-10-96,OH,100/300,2000,1514.72,0,617970,MALE,High School,transport-moving,board-games,own-child,02-02-15,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,YES,0,1,?,58300,N
153,34,04-03-06,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,husband,30-01-15,Minor Damage,Other,SC,Columbus,9489 3rd St,9,NO,2,1,?,68400,N
134,32,02-01-91,IL,500/1000,500,1612.43,0,456762,FEMALE,MD,other-service,yachting,own-child,08-01-15,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,?,2,1,YES,64240,N
31,36,15-08-99,IL,500/1000,2000,1318.24,9000000,601748,FEMALE,College,prof-specialty,kayaking,not-in-family,30-01-15,Trivial Damage,None,WV,Arlington,5540 Sky St,9,NO,0,1,YES,4700,N
41,25,15-01-92,IN,100/300,1000,1226.83,0,607763,FEMALE,College,exec-managerial,exercise,not-in-family,07-01-15,Major Damage,Other,SC,Columbus,7238 2nd St,12,YES,2,0,?,45120,Y
127,29,07-12-99,OH,250/500,2000,1326.44,5000000,436973,FEMALE,High School,sales,board-games,own-child,24-02-15,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,YES,1,1,?,66950,N
61,23,06-06-93,IL,250/500,2000,1136.83,4000000,471300,FEMALE,Associate,tech-support,exercise,own-child,02-02-15,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,NO,0,3,?,98340,Y
207,42,03-10-00,IL,250/500,2000,1322.78,0,453277,MALE,PhD,farming-fishing,yachting,own-child,28-02-15,Trivial Damage,None,WV,Springfield,5260 Francis Drive,9,NO,0,1,NO,5900,N
219,43,29-12-10,IN,100/300,1000,1483.25,0,465100,FEMALE,MD,exec-managerial,exercise,not-in-family,09-02-15,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,NO,1,1,?,70680,N
271,42,17-03-90,IL,100/300,500,1515.3,0,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family,19-01-15,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,NO,1,0,NO,93720,N
80,25,01-03-12,IL,100/300,2000,1075.18,5000000,601112,FEMALE,PhD,armed-forces,exercise,husband,21-02-15,Minor Damage,None,OH,Northbrook,3289 Britain Drive,5,NO,2,0,YES,6930,N
325,47,05-02-06,IN,500/1000,1000,1690.27,0,438830,FEMALE,Associate,protective-serv,hiking,not-in-family,14-01-15,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,YES,0,3,NO,72930,Y
29,25,01-11-14,IL,250/500,2000,1352.83,0,464959,MALE,Masters,farming-fishing,skydiving,own-child,22-01-15,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,YES,1,2,YES,64890,Y
295,48,17-06-09,OH,250/500,1000,1148.73,0,439787,FEMALE,College,machine-op-inspct,kayaking,wife,22-02-15,Trivial Damage,None,WV,Columbus,3998 Flute St,6,?,1,2,YES,5400,N
239,42,20-09-99,IL,100/300,1000,969.5,0,464839,MALE,College,exec-managerial,reading,not-in-family,26-01-15,Trivial Damage,None,NC,Northbrook,2430 MLK Ave,10,NO,0,0,?,5600,N
269,41,19-10-90,IN,100/300,500,1463.82,0,448984,FEMALE,College,protective-serv,yachting,not-in-family,24-01-15,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,YES,0,0,?,79300,N
80,27,05-08-96,IL,100/300,1000,1474.17,0,440327,FEMALE,College,tech-support,exercise,unmarried,19-02-15,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,YES,1,0,YES,52800,N
279,41,06-06-01,IL,250/500,500,1497.35,0,460742,FEMALE,JD,prof-specialty,bungie-jumping,husband,29-01-15,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,?,2,3,NO,28800,N
165,33,25-03-07,OH,100/300,1000,1427.14,0,446895,FEMALE,Associate,tech-support,kayaking,other-relative,15-02-15,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,NO,1,1,NO,2970,N
350,54,31-10-13,OH,500/1000,500,1495.1,0,609374,MALE,College,other-service,basketball,wife,12-02-15,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,NO,0,0,?,93480,N
295,49,13-06-92,IL,100/300,500,1141.62,0,451672,MALE,College,prof-specialty,kayaking,husband,01-01-15,Minor Damage,None,WV,Columbus,8085 Andromedia St,4,YES,1,3,YES,4320,N
464,61,07-10-90,OH,500/1000,1000,1125.37,0,604450,FEMALE,Associate,prof-specialty,basketball,husband,13-01-15,Major Damage,Police,VA,Northbend,4793 4th Ridge,6,?,0,2,YES,79800,Y
118,28,28-12-91,IN,500/1000,2000,1207.36,0,432896,FEMALE,High School,handlers-cleaners,camping,own-child,01-03-15,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,22,NO,1,0,?,74200,N
298,47,11-11-98,IL,500/1000,2000,1338.5,0,618929,FEMALE,PhD,machine-op-inspct,basketball,other-relative,02-02-15,Major Damage,Fire,NY,Northbrook,2306 5th Lane,1,?,0,0,?,70590,Y
87,31,26-06-09,IN,500/1000,1000,1074.07,0,451312,FEMALE,Masters,sales,chess,husband,27-01-15,Major Damage,Fire,NY,Springfield,3052 Weaver Ridge,16,NO,0,3,YES,60940,Y
261,42,11-01-09,OH,250/500,500,1337.56,0,605141,FEMALE,College,prof-specialty,video-games,unmarried,12-01-15,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,18,?,1,2,YES,74700,N
453,60,18-03-03,IN,100/300,500,1298.91,6000000,459504,MALE,PhD,craft-repair,dancing,unmarried,06-01-15,Major Damage,Fire,NC,Springfield,7253 MLK St,0,YES,0,0,?,70000,Y
210,41,02-11-12,IL,500/1000,500,1222.75,0,432781,MALE,High School,exec-managerial,polo,other-relative,30-01-15,Total Loss,Other,WV,Columbus,1454 5th Ridge,12,?,2,0,NO,81070,N
168,32,04-05-00,IN,100/300,1000,1059.52,0,452748,MALE,MD,protective-serv,camping,own-child,01-03-15,Major Damage,Other,VA,Hillsdale,5622 Best Ridge,13,?,1,1,?,57720,N
390,51,29-09-99,OH,250/500,2000,1124.38,0,618316,MALE,Associate,armed-forces,reading,other-relative,24-02-15,Minor Damage,None,VA,Northbrook,4574 Britain Hwy,9,YES,1,1,YES,7080,N
258,46,09-03-99,IN,100/300,1000,1110.37,10000000,455365,MALE,MD,machine-op-inspct,hiking,other-relative,24-01-15,Total Loss,Other,NY,Riverwood,4539 Texas St,14,NO,0,1,?,47700,Y
107,31,13-02-91,IL,500/1000,2000,1374.22,0,470603,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,26-02-15,Minor Damage,Police,SC,Hillsdale,8118 Elm Ridge,16,NO,0,3,NO,51260,N
225,41,05-08-93,OH,500/1000,2000,1103.58,0,475292,MALE,High School,exec-managerial,exercise,unmarried,19-01-15,Major Damage,Police,NY,Northbend,3814 Britain Drive,20,?,2,2,NO,70400,Y
164,38,31-10-97,IL,250/500,2000,1269.76,0,467743,FEMALE,PhD,transport-moving,yachting,not-in-family,17-01-15,Minor Damage,Fire,NY,Hillsdale,4614 MLK Ave,4,NO,1,3,YES,90000,N
245,39,21-04-01,OH,250/500,500,964.79,8000000,460675,FEMALE,Associate,adm-clerical,camping,husband,20-02-15,Minor Damage,Police,NY,Arlington,1628 Best Drive,7,?,0,1,?,72820,N
255,41,08-01-13,IL,500/1000,2000,1167.3,4000000,618123,MALE,High School,priv-house-serv,board-games,other-relative,22-02-15,Minor Damage,Fire,SC,Hillsdale,8381 Solo Hwy,22,NO,2,0,?,69300,N
206,36,23-07-09,IL,500/1000,500,1625.45,4000000,607452,FEMALE,MD,other-service,video-games,other-relative,23-01-15,Major Damage,Ambulance,NY,Northbrook,2100 MLK St,11,NO,2,1,NO,76560,Y
203,38,20-02-98,IL,250/500,500,1394.43,0,606352,FEMALE,Masters,other-service,skydiving,not-in-family,31-01-15,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,7,?,0,1,YES,55440,Y
22,25,13-03-08,OH,250/500,2000,1053.24,0,603527,FEMALE,College,prof-specialty,movies,other-relative,05-01-15,Total Loss,Other,NC,Arlington,7551 Britain Lane,0,YES,1,0,NO,77130,N
211,35,20-08-96,IL,100/300,500,1040.75,0,445601,FEMALE,JD,prof-specialty,paintball,not-in-family,03-02-15,Total Loss,Ambulance,WV,Northbend,2275 Best Lane,1,YES,1,1,?,42000,N
206,39,27-07-14,IN,250/500,1000,1302.4,6000000,603948,MALE,JD,craft-repair,dancing,unmarried,17-02-15,Total Loss,Ambulance,NY,Hillsdale,1598 3rd Drive,12,NO,2,3,YES,36300,N
166,38,09-11-92,IL,100/300,2000,1588.55,0,435758,MALE,MD,protective-serv,video-games,unmarried,09-01-15,Total Loss,Other,WV,Columbus,7740 MLK St,8,NO,0,0,?,40320,N
165,32,04-06-12,IN,500/1000,500,1399.26,0,611586,FEMALE,High School,tech-support,exercise,own-child,08-02-15,Minor Damage,Police,PA,Northbrook,1240 Tree Lane,9,?,2,0,?,3960,N
274,43,13-05-01,OH,100/300,2000,1352.31,0,465263,MALE,College,farming-fishing,basketball,wife,06-02-15,Major Damage,Fire,NY,Northbend,8983 Francis Ridge,22,YES,0,3,YES,63840,Y
81,28,17-09-11,IL,250/500,1000,1139,6000000,617858,FEMALE,Masters,sales,sleeping,husband,14-01-15,Major Damage,Fire,SC,Northbend,7756 Solo Drive,0,?,1,2,?,44730,Y
